"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"2099","noroBE",9,3,"naive",247,3.41806109449981,6.37121969850201,2,5,0,9,2,1.71864174709788,2.16361135078224
"2100","noroBE",9,4,"naive",247,4.05959319135766,8.22533319532666,2,6,0,11,1,2.09863412119377,2.37099723159626
"2101","noroBE",10,1,"naive",247,6.08428427692592,15.4414888606172,3,8,0,15,5,2.20270827686625,1.84188501599309
"2102","noroBE",10,2,"naive",247,7.50092626459884,21.7228034052873,4,10,1,19,3,2.50889537876468,2.05253040533873
"2103","noroBE",10,3,"naive",247,7.9644492468512,23.9983292170798,4,11,1,20,6,2.3963152996407,2.16361135078224
"2104","noroBE",10,4,"naive",247,9.45928789495854,32.0767575832776,5,13,1,23,9,2.63792712179057,2.37099723159626
"2105","noroBE",11,1,"naive",247,4.19691943147203,8.64926017632407,2,6,0,11,4,1.99506110678691,1.84188501599309
"2106","noroBE",11,2,"naive",247,5.17411444980008,11.9411614343374,3,7,0,13,8,2.79830695581832,2.05253040533873
"2107","noroBE",11,3,"naive",247,5.49385108974085,13.1230844201672,3,7,0,14,7,2.50222376735293,2.16361135078224
"2108","noroBE",11,4,"naive",247,6.52498590915578,17.2868198455721,3,9,1,16,10,2.99715036915061,2.37099723159626
"2109","noroBE",12,1,"naive",247,3.167906751754,5.70462310715405,1,4,0,9,1,1.76216616954016,1.84188501599309
"2110","noroBE",12,2,"naive",247,3.90551030762117,7.76102805596165,2,5,0,11,3,1.8470556458884,2.05253040533873
"2111","noroBE",12,3,"naive",247,4.14685300599559,8.49360049849887,2,6,0,11,2,1.89343138938611,2.16361135078224
"2112","noroBE",12,4,"naive",247,4.92517124863278,11.0567145704622,2,7,0,13,5,2.16080732232103,2.37099723159626
"2113","noroBE",1,1,"naive",248,3.59974095749328,6.87076840329972,2,5,0,10,1,1.92631352706256,2.05203159769426
"2114","noroBE",1,2,"naive",248,3.82220204194381,7.51001570986715,2,5,0,10,5,2.24048798967342,2.16373709272456
"2115","noroBE",1,3,"naive",248,4.54018340126851,9.74359861516693,2,6,0,12,5,2.17047678711794,2.370687331273
"2116","noroBE",1,4,"naive",248,5.47934309354462,13.058112254084,3,7,0,14,12,3.90601024431575,2.5102065100087
"2117","noroBE",2,1,"naive",248,2.50985665226258,4.10001189378958,1,4,0,7,2,1.55329483803458,2.05203159769426
"2118","noroBE",2,2,"naive",248,2.66496376671076,4.45773265385089,1,4,0,8,1,1.57224589657657,2.16373709272456
"2119","noroBE",2,3,"naive",248,3.16556375770468,5.69511696791385,1,4,0,9,4,2.04677554190244,2.370687331273
"2120","noroBE",2,4,"naive",248,3.82037648701772,7.50466825913511,2,5,0,10,4,1.99450563528548,2.5102065100087
"2121","noroBE",3,1,"naive",248,3.56866899940963,6.78347096854599,2,5,0,10,1,1.91455207340481,2.05203159769426
"2122","noroBE",3,2,"naive",248,3.7892098619406,7.41363394210147,2,5,0,10,6,2.56021732664083,2.16373709272456
"2123","noroBE",3,3,"naive",248,4.50099380679431,9.61496785715592,2,6,0,12,5,2.17241805080084,2.370687331273
"2124","noroBE",3,4,"naive",248,5.43204693503239,12.8805451285182,3,7,0,14,6,2.31425069581667,2.5102065100087
"2125","noroBE",4,1,"naive",248,3.09057718659349,5.50170858295855,1,4,0,9,1,1.73293620475016,2.05203159769426
"2126","noroBE",4,2,"naive",248,3.2815723611425,5.99992415304621,1,5,0,9,1,1.80555876691219,2.16373709272456
"2127","noroBE",4,3,"naive",248,3.89799916399597,7.73352729649105,2,5,0,11,5,2.22914888441212,2.370687331273
"2128","noroBE",4,4,"naive",248,4.70431982811896,10.290762794902,2,6,0,12,1,2.33520008385324,2.5102065100087
"2129","noroBE",5,1,"naive",248,3.59319236359939,6.85232942808732,2,5,0,10,3,1.81482165947554,2.05203159769426
"2130","noroBE",5,2,"naive",248,3.81524875023514,7.48965699387828,2,5,0,10,5,2.24158318225259,2.16373709272456
"2131","noroBE",5,3,"naive",248,4.53192396881217,9.7164244557397,2,6,0,12,2,1.99242260118516,2.370687331273
"2132","noroBE",5,4,"naive",248,5.46937515608783,13.0205950353274,3,7,0,14,5,2.16902089415187,2.5102065100087
"2133","noroBE",6,1,"naive",248,3.47359397606662,6.51938284478928,2,5,0,10,4,2.0122071691542,2.05203159769426
"2134","noroBE",6,2,"naive",248,3.68825927892627,7.12213502768661,2,5,0,10,6,2.59163695302041,2.16373709272456
"2135","noroBE",6,3,"naive",248,4.38108016635343,9.22619516474706,2,6,0,12,9,3.40243570603514,2.370687331273
"2136","noroBE",6,4,"naive",248,5.28732855705058,12.3442338047833,3,7,0,14,9,3.04692239209081,2.5102065100087
"2137","noroBE",7,1,"naive",248,6.71621463605221,18.1027296436494,4,9,1,17,4,2.25651293284981,2.05203159769426
"2138","noroBE",7,2,"naive",248,7.13127127734428,19.9686278482485,4,10,1,18,3,2.43255981728222,2.16373709272456
"2139","noroBE",7,3,"naive",248,8.47084458854918,26.5840418653782,5,11,1,21,6,2.44036012083319,2.370687331273
"2140","noroBE",7,4,"naive",248,10.2230812481691,36.6049353338724,6,14,2,25,8,2.61296737055607,2.5102065100087
"2141","noroBE",8,1,"naive",248,4.36273981921984,9.16737389066185,2,6,0,12,3,1.90792916685221,2.05203159769426
"2142","noroBE",8,2,"naive",248,4.63235361721796,10.0491822716977,2,6,0,12,4,2.01381806211967,2.16373709272456
"2143","noroBE",8,3,"naive",248,5.5025178603597,13.1455310844179,3,7,0,14,3,2.10494880523445,2.370687331273
"2144","noroBE",8,4,"naive",248,6.64074125878792,17.7727825307143,4,9,1,17,5,2.2479059141277,2.5102065100087
"2145","noroBE",9,1,"naive",248,3.21233693540975,5.81719384610446,1,5,0,9,0,2.35240784288493,2.05203159769426
"2146","noroBE",9,2,"naive",248,3.41085676411692,6.34761809596083,2,5,0,9,2,1.71691032009255,2.16373709272456
"2147","noroBE",9,3,"naive",248,4.05156898944896,8.19526766018746,2,6,0,11,1,2.09602900080349,2.370687331273
"2148","noroBE",9,4,"naive",248,4.88965634166984,10.9249493954472,2,7,0,13,4,2.03246134074541,2.5102065100087
"2149","noroBE",10,1,"naive",248,7.50747823243041,21.735019453633,4,10,1,19,3,2.51051059035364,2.05203159769426
"2150","noroBE",10,2,"naive",248,7.97143432504831,24.0118136388201,4,11,1,20,6,2.39653991491584,2.16373709272456
