"","h1","h2","h3","h4","h5","h6","h7","h8"
"t=1095",3.03772174699792,3.07106485729491,3.20312870072343,3.35971406728145,3.48818551844605,4.0205474273685,3.74784420144109,4.28005576568371
"t=1096",3.07130251117969,3.20330000136175,3.35968255171942,3.48809008064981,4.02022737056926,3.74769220221431,4.27973217801361,4.34521011653145
"t=1097",3.20311676746775,3.35971627088623,3.48819217753502,4.02056974220192,3.74785480294622,4.28007832661137,4.34555568061622,4.29429135042847
"t=1098",3.3597403162895,3.48826472250858,4.02081270088302,3.74797026249028,4.28032396400643,4.34580090346976,4.29453076283209,4.57118271420247
"t=1099",3.48824750097177,4.02075504815505,3.74794285914751,4.28026567575114,4.34574271356414,4.29447395145543,4.57112476444731,4.52518744490772
"t=1100",4.02060325871749,3.74787072718745,4.28011221273606,4.34558950954199,4.29432437762433,4.5709721928403,4.52506711055804,4.74965637856068
"t=1101",3.74764291787343,4.27962720946114,4.34510532531114,4.29385167346408,4.57049000862398,4.52468687429339,4.74917105416613,4.85809305604157
"t=1102",4.27939026570734,4.34486878198368,4.29362074262054,4.57025444312255,4.52450115074995,4.74893395346906,4.85785216107535,4.9291542751737
"t=1103",4.3443801617741,4.29314372428838,4.56976784431534,4.52411758446729,4.74844418118185,4.85735454530587,4.92865652064579,4.94433739254185
"t=1104",4.292667884312,4.56928243815903,4.52373506025357,4.74795560625446,4.85685813832208,4.92815997510575,4.9438395970136,5.13877668100149
"t=1105",4.56880859634691,4.52336174763795,4.7474786682044,4.85637354728621,4.92767524868158,4.94335364917693,5.13829921819172,4.95989868398852
"t=1106",4.52298154428296,4.74699279591028,4.85587987104672,4.92718143438323,4.94285858936917,5.13781281086177,4.9594033933729,4.99153538364593
"t=1107",4.74660711092565,4.85548798583099,4.92678943947981,4.94246560490631,5.13742670084547,4.95901022553244,4.99114175554108,4.79725858297088
"t=1108",4.8549920270821,4.92629334179247,4.94196825376676,5.13693805745721,4.95851264211224,4.99064358911263,4.79685304465935,4.87664720318435
"t=1109",4.92578999474411,4.94146363369977,5.13644228112437,4.95800778613816,4.99013814102733,4.79644167093624,4.87618028408005,4.99705902220949
"t=1110",4.94095928886606,5.13594678398291,4.95750320529273,4.98963296780714,4.79603061391661,4.87571365703361,4.99656007682282,4.66836436094493
"t=1111",5.1354505311082,4.9569978456553,4.98912701429263,4.79561901525742,4.87524634749386,4.99606036695617,4.66798607724486,4.82390381904271
"t=1112",4.95650128364491,4.98862986816997,4.79521467253017,4.8747872099864,4.99556936183981,4.66761450109022,4.82345076773072,4.53120508381206
"t=1113",4.9881245702755,4.79480379229048,4.87432058190154,4.99507031179276,4.66723695677285,4.82299033164085,4.53096982594953,4.44692960407022
"t=1114",4.79439289216043,4.87385386344011,4.99457113030614,4.66685943413738,4.82252981294291,4.53073476741507,4.44678739124319,4.49001358218551
"t=1115",4.87347192325567,4.99416259801302,4.66655055820076,4.82215295124389,4.53054258913142,4.44667126524904,4.48979144582664,4.38350525600388
"t=1116",4.99370113338206,4.66620175988441,4.82172729188379,4.53032572179194,4.44654037663154,4.489540709283,4.38360321818107,4.3687843213789
"t=1117",4.66583005080428,4.82127357012615,4.53009478510333,4.44640117918643,4.4892736330433,4.3837082026891,4.36850628428637,4.16005310636501
"t=1118",4.82092759274375,4.52991884678919,4.4462952590002,4.48907011115968,4.38378864827156,4.36829439567411,4.15990962055727,4.02432604193898
"t=1119",4.52970602702075,4.44616728230246,4.48882386663923,4.38388649520578,4.36803801168558,4.15973611984368,4.02404284354995,3.99748749429629
"t=1120",4.44610061312974,4.48869543701231,4.38393775168176,4.36790428663194,4.15964567578559,4.02389511430559,3.99732860379354,4.16322906355732
"t=1121",4.48861585081172,4.38396959191499,4.36782141645655,4.15958964454521,4.02380355934326,3.9972301275263,4.16310271183399,4.00891706948404
"t=1122",4.38402858954761,4.36766826457625,4.15948612874597,4.02363434443219,3.99704811209601,4.16286914303844,4.00869288196302,3.94439840644096
"t=1123",4.36772076195666,4.15952160672748,4.023692349758,3.99711050654201,4.16294921433784,4.00876973658939,3.94445132917021,3.76444549727886
"t=1124",4.15941433283441,4.02351692763353,3.99692180676127,4.16270704004262,4.00853729303214,3.94429128236151,3.76440818291434,3.79588126388087
"t=1125",4.02339620335001,3.99679193812004,4.16254034379912,4.00837729817608,3.94418114675864,3.76438257080581,3.7957626548582,3.61996835137484
"t=1126",3.99658507221111,4.16227477375638,4.00812241011629,3.94400573563727,3.76434188948133,3.79557373606261,3.61989941946073,3.59439015657385
"t=1127",4.16199031190939,4.0078493979788,3.94381791458804,3.76429848101819,3.79537143505398,3.61982572728763,3.59430168780271,3.48679999497234
"t=1128",4.00750246053471,3.94357932990258,3.76424356588317,3.79511443193074,3.6197322919638,3.59418945841518,3.48668380856587,3.74091967091821
"t=1129",3.9433504507494,3.76419112252421,3.79486785735831,3.61964284110414,3.59408195304482,3.48657249878629,3.74054709098822,3.7826976953347
"t=1130",3.76415474074277,3.79469613650836,3.61958065715373,3.59400718210156,3.48649507374072,3.74028752410563,3.7824308587789,3.78797853391986
"t=1131",3.79465171903727,3.61956458757536,3.5939878549709,3.48647505947976,3.7402203718967,3.78236182517529,3.78791016745735,3.41988083152714
"t=1132",3.61949813785621,3.59390791374418,3.48639227137533,3.73994236086404,3.7820760222249,3.78762712744101,3.41961672153097,3.29086915479997
"t=1133",3.59387718886532,3.48636045027378,3.73983539967153,3.78196606193864,3.78751823057086,3.41951511065496,3.29077782360795,3.31949728903248
"t=1134",3.4863228666123,3.73970899499183,3.78183611208964,3.78738953774219,3.41939503036004,3.29066989451881,3.31937412763261,3.29983272260883
"t=1135",3.73957874313262,3.78170220614444,3.78725692741041,3.41927129705278,3.29055868550116,3.3192472185561,3.29970121761372,3.21829781286896
"t=1136",3.78127848818357,3.78683731132931,3.41887978586876,3.29020682602051,3.31884565250961,3.29928510086987,3.21789187990674,3.9617603316062
"t=1137",3.7864067569111,3.41847809349765,3.2898458527332,3.31843363393455,3.29885813976389,3.21747537656269,3.96146322514896,3.06299402652432
"t=1138",3.41808044301468,3.28948854780765,3.31802575129725,3.29843545152258,3.21706304999581,3.96116920162874,3.06263220235361,3.77531162346499
"t=1139",3.28915519186712,3.31764516173959,3.29804103532474,3.2166783101153,3.96089494269443,3.06229462370237,3.77494687368425,3.78810648575252
"t=1140",3.31730243280554,3.2976858455025,3.21633184062305,3.96064804138289,3.06199065543838,3.7746184203321,3.78778638895625,4.2371840605231
"t=1141",3.29728262096775,3.21593852304219,3.960367843515,3.06164562173842,3.77424557159188,3.78742303409323,4.23696094785582,5.2437735855774
"t=1142",3.21553191131247,3.9600782738087,3.06128896596354,3.7738601391657,3.78704742469961,4.23673044619446,5.24390344595477,4.43478818136562
"t=1143",3.95979603046949,3.06094125385397,3.77348434783007,3.78668121924589,4.23650584847426,5.24403053618795,4.43450943714128,5.61314822377236
"t=1144",3.06068660259508,3.77320911723687,3.78641301474548,4.23634143917461,5.24412391723956,4.43430534310792,5.61328974745457,5.05066246194087
"t=1145",3.77287898037782,3.78609131161928,4.23614432833004,5.24423626180571,4.43406059984167,5.61345989231042,5.05055412292083,4.08607484014641
"t=1146",3.78574340112404,4.23593127436341,5.24435817240038,4.43379599404296,5.61364437906585,5.0504371694466,4.08566701897271,3.98663336906804
"t=1147",4.23572367570905,5.24447744157215,4.433538096722,5.61382472309188,5.05032335936897,4.08526937023831,3.98625612659114,4.62109720365901
"t=1148",5.24455409933876,4.4333728437202,5.6139405601103,5.05025052592598,4.08501448186455,3.9860143268059,4.62086127200206,4.41301129125079
"t=1149",4.43343201215922,5.61389905997725,5.05027659543549,4.08510575183005,3.98610090927834,4.62094575285798,4.41310394631363,4.67421693016404
"t=1150",5.61403965368047,5.05018838565526,4.08479676075344,3.98580779093796,4.6206597511198,4.41279026502643,4.67392131915427,4.45057284607515
"t=1151",5.05023252642294,4.08495144109882,3.98595452421445,4.62080292125061,4.41294729364245,4.67406930040708,4.45071925497048,4.97049796001413
"t=1152",4.0847968610243,3.98580788605638,4.62065984392804,4.41279036681978,4.67392141508179,4.45057294098323,4.97034162152683,5.10673604845279
"t=1153",3.98537148149194,4.62023404395761,4.41232332294642,4.67348129695941,4.45013750244592,4.96987632979853,5.10629419175135,5.18692308106654
"t=1154",4.61982981303156,4.41187989906098,4.67306346003829,4.44972411258755,4.96943457103774,5.10587470324134,5.18651139060986,5.46799745587695
"t=1155",4.41144621797075,4.67265482535552,4.44931983116244,4.96900251998748,5.1054644523765,5.18610877326652,5.46767815299992,5.35486940607482
"t=1156",4.67220930427398,4.44887906096039,4.96853144469698,5.10501716813456,5.18566981973633,5.46733012280624,5.35445488483415,5.37332852569948
"t=1157",4.44846275188579,4.9680864844558,5.10459470094162,5.18525522881484,5.46700149490586,5.35406339345253,5.37293329667501,5.45330608842795
"t=1158",4.96764700733067,5.10417745964555,5.18484577378759,5.4666770201677,5.35367677403565,5.37254298239418,5.45294371930057,5.77272449170619
"t=1159",5.1037327179439,5.18440933968352,5.46633125572967,5.35326470453086,5.37212697071147,5.4525575237449,5.77245582226122,6.07954289025735
"t=1160",5.18399421297354,5.46600245834138,5.35287277624288,5.37173128900972,5.45219023093685,5.77220043019257,6.07936851855774,6.42093727948256
"t=1161",5.4656798334876,5.35248813017319,5.37134295554328,5.45182978748091,5.77194992135505,6.07919760749894,6.42093288946537,6.62180722195257
"t=1162",5.35217859308173,5.37103044840319,5.45153974492784,5.77174842815767,6.07906022884376,6.42092963948313,6.62188452035258,5.89155799932645
